Date,Forecast_Sales,Lower_Bound,Upper_Bound
2025-01-01,8399.999483060656,8399.858502847885,8400.140463273427
2025-02-01,8699.998036713472,8699.580176744174,8700.41589668277
2025-03-01,8999.995644946532,8999.221858521616,9000.769431371447
2025-04-01,9299.992323735858,9298.802647182889,9301.182000288827
2025-05-01,9599.98805715293,9598.325380633301,9601.650733672559
2025-06-01,9899.98286109059,9897.80026696548,9902.1654552157
2025-07-01,10199.976719703283,10197.22741866877,10202.726020737797
2025-08-01,10499.969648801103,10496.613863506358,10503.325434095848
2025-09-01,10799.961632621027,10795.958789601706,10803.964475640349
2025-10-01,11099.95268689083,11095.267649878184,11104.637723903477
2025-11-01,11399.942795929594,11394.539252670224,11405.346339188964
2025-12-01,11699.931975383202,11693.778111864603,11706.085838901801
